solver,cx,time
Ipopt,1.1213026185289436,1.194681631
ECOS,1.1240009475125787,6.343032757
Cbc,1.0932155030911392,0.069755896
GLPK,1.0932155030911392,0.182092119
HiGHS,1.0932155030911392,0.126678814
MadNLP,1.1202363409831433,3.143519999
SCIP,1.0985375824796217,0.582486811
SDPA,1.1231308606551438,2.564197325
Tulip,1.1187268938359987,0.30631845
